Year when drafted,Round drafted,Overall pick,Name,Position,Organization,school,age when drafted ,Birth date,Bats,Throws ,education type,Drafted before,Minor-League level started at,if the player appeared in rookie leagues,Number of games played in Rookie Leagues,Number of plate appearances in Rookie Leagues,If the player appeared in Short-Season-A,Number of games played in Short-Season-A,Number of plate appearances in Short-Season-A,If the player appeared in Low-A ,Number of games played in Low-A ,Number of plate appearances in Low-A,If the player appeared in High-A,Number of games played in High-A,Number of plate appearances in High-A,If the player appeared in Double-A,Number of games played in Double-A,Number of plate appearances in Double-A ,If the player appeared in Triple-A,"Number of games played in Triple-A	",Number of plate appearances in Triple-A ,If the player appeared in the Major Leagues,Number of seasons spent in the minor leagues    ,Total number of games played in the minor leagues,Total number of plate appearances in the minor leagues  ,Total games played in Short-Season and lower levels,Total plate appearances in Short-Season and lower levels,Total games played in Low-A and lower levels,Total plate appearances in Low-A and lower levels,Total games played in High-A and lower levels,Total plate appearances in High-A and lower levels,"Total games played in Double-A and lower levels	",Total plate appearances in Double-A and lower levels,"Total games played in Triple-A and lower levels	",Total plate appearances in Triple-A and lower levels,Average plate appearances per game
2004,5,138,Paul Janish,Shortstop,Reds,Rice U (TX),22,10/12/82,Right,Right,College,No,Rookie,Yes,66,250, , , ,Yes,81,362,Yes,91,393,Yes,92,407,Yes,55,227,Active,4,385,1639,66,250,147,612,238,1005,330,1412,385,1639,4.26
2003,4,112,Robert Valido,Shortstop,White Sox,Miami Coral Park HS (FL),18,05/16/85,Right,Right,High School,No,Rookie,Yes,58,232, , , ,Yes,123,494,Yes,185,845,Yes,115,480, , , ,Active,5,481,2051,58,232,181,726,366,1571,481,2051,481,2051,4.26
2000,31,914,Ruben Gotay,Second Base,Royals,Indian Hills Community College-Cen,18,12/25/82,Switch,Right,College,No,Rookie,Yes,52,210, , , ,Yes,133,582,Yes,134,562,Yes,106,456, , , ,Yes,4,425,1810,52,210,185,792,319,1354,425,1810,425,1810,4.26
2005,2,58,Ryan Mount,Shortstop,Angels,"Rueben S Ayala HS, CA",19,08/17/86,Left,Right,High School,No,Rookie,Yes,101,456, , , ,Yes,85,337, , , , , , , , , ,Active,3,186,793,101,456,186,793,186,793,186,793,186,793,4.26
2005,3,99,Taylor Teagarden,Catcher,Rangers,"U Texas Austin, TX",22,12/21/83,Right,Right,College,Yes,Short-Season,Yes,7,29,Yes,31,122, , , ,Yes,81,364,Yes,29,115, , , ,Active,3,148,630,38,151,38,151,119,515,148,630,148,630,4.26
1993,12,327,Todd Greene,Outfield,Angels,Georgia Southern University,22,05/08/71,Right,Right,College,Yes,Short-Season, , , ,Yes,76,339, , , ,Yes,133,588,Yes,82,335,Yes,103,418,Yes,4,394,1680,76,339,76,339,209,927,291,1262,394,1680,4.26
2004,1,20,Trevor Plouffe,Shortstop,Twins,Crespi Carmelite HS (CA),18,06/15/86,Right,Right,High School,No,Rookie,Yes,60,256, , , ,Yes,127,532,Yes,125,524,Yes,126,555, , , ,Active,4,438,1867,60,256,187,788,312,1312,438,1867,438,1867,4.26
1997,1,5,Vernon Wells,Outfield,Blue Jays,"Bowie HS (Arlington,TX)",19,12/08/78,Right,Right,High School,No,Short-Season, , , ,Yes,66,294,Yes,134,558,Yes,70,291,Yes,26,118,Yes,33,139,Yes,3,329,1400,66,294,200,852,270,1143,296,1261,329,1400,4.26
2003,2,46,Vincent Sinisi,Outfield,Rangers,Rice U (TX),22,11/07/81,Left,Left,College,No,High-A, , , , , , , , , ,Yes,112,499,Yes,185,784,Yes,94,383,Active,5,391,1666,0,0,0,0,112,499,297,1283,391,1666,4.26
1998,2,63,Zach Sorensen,Shortstop,Indians,Wichita State University,21,01/03/77,Switch,Right,College,Yes,Short-Season, , , ,Yes,67,290, , , ,Yes,130,570,Yes,142,629,Yes,195,787,Yes,6,534,2276,67,290,67,290,197,860,339,1489,534,2276,4.26
2006,6,171,Adam Moore,Catcher,Mariners,"U Texas Arlington, TX",22,05/08/84,Right,Right,College,Yes,Short-Season, , , ,Yes,16,66,Yes,44,187,Yes,115,491, , , , , , ,Active,2,175,744,16,66,60,253,175,744,175,744,175,744,4.25
2004,7,201,Benjamin Harriso,Outfield,Rangers,U Florida (FL),23,09/18/81,Right,Right,College,Yes,Short-Season, , , ,Yes,55,236,Yes,83,346,Yes,160,688,Yes,50,209, , , ,Active,4,348,1479,55,236,138,582,298,1270,348,1479,348,1479,4.25
2002,13,381,Brian Barre,Outfield,Rockies,USC,22,06/23/80,Left,Left,College,No,Rookie,Yes,62,267, , , ,Yes,30,130,Yes,115,482, , , , , , ,No,3,207,879,62,267,92,397,207,879,207,879,207,879,4.25
1994,1,24,Brian Buchanan,Outfield,Yankees,University of Virginia,21,07/21/73,Right,Right,College,No,Short-Season, , , ,Yes,50,201,Yes,23,105,Yes,131,563,Yes,116,563,Yes,353,1425,Yes,7,673,2857,50,201,73,306,204,869,320,1432,673,2857,4.25
2004,15,437,Brian Finegan,Shortstop,Indians,U Hawaii (HI),23,12/15/81,Right,Right,College,No,Short-Season,Yes,5,16,Yes,69,285,Yes,115,505,Yes,116,494, , , ,Yes,4,13,Active,4,309,1313,74,301,189,806,305,1300,305,1300,309,1313,4.25
2002,12,349,Callix Crabbe,Second Base,Brewers,Manatee Community College,19,02/14/83,Switch,Right,College,Yes,Rookie,Yes,67,279, , , ,Yes,129,533,Yes,132,599,Yes,248,1046,Yes,130,541,Active,6,706,2998,67,279,196,812,328,1411,576,2457,706,2998,4.25
2001,1,10,Chris Burke,Shortstop,Astros,University of Tennessee,21,03/11/80,Right,Right,College,No,Low-A, , , , , , ,Yes,56,259, , , ,Yes,273,1126,Yes,123,538,Yes,4,452,1923,0,0,56,259,56,259,329,1385,452,1923,4.25
2005,11,327,Chris Frey,Outfield,Rockies,"U Arizona, AZ",22,08/11/83,Left,Left,College,No,Short-Season, , , ,Yes,64,296, , , ,Yes,125,536,Yes,132,531, , , ,Active,3,321,1363,64,296,64,296,189,832,321,1363,321,1363,4.25
1994,2,42,Cleatus Davidson,Shortstop,Twins,Lake Wales HS (FL),18,11/01/76,Switch,Right,High School,No,Rookie,Yes,149,629, , , ,Yes,183,756,Yes,130,572,Yes,127,544, , , ,Yes,6,589,2501,149,629,332,1385,462,1957,589,2501,589,2501,4.25
1999,7,222,Coco Crisp,Outfield,Cardinals,Los Angeles Pierce College,20,11/01/79,Switch,Right,College,No,Rookie,Yes,65,273,Yes,36,145,Yes,27,114,Yes,139,582,Yes,96,426,Yes,4,21,Yes,4,367,1561,101,418,128,532,267,1114,363,1540,367,1561,4.25
2004,2,57,Curtis Thigpen,Catcher,Blue Jays,U Texas (TX),21,04/19/83,Right,Right,College,No,Short-Season, , , ,Yes,45,189,Yes,79,352, , , ,Yes,126,530,Yes,63,258,Yes,4,313,1329,45,189,124,541,124,541,250,1071,313,1329,4.25
2005,43,1289,Daniel Figueroa,Outfield,Orioles,"U Miami, FL",22,02/19/83,Right,Right,College,Yes,Short-Season, , , ,Yes,26,119,Yes,123,514, , , , , , , , , ,Active,2,149,633,26,119,149,633,149,633,149,633,149,633,4.25
2004,1,36,Daniel Putnam,Outfield,Athletics,Stanford U (CA),22,09/17/82,Left,Left,College,No,Short-Season, , , ,Yes,11,52,Yes,50,194,Yes,147,664,Yes,82,346,Yes,51,193,Yes,4,341,1449,11,52,61,246,208,910,290,1256,341,1449,4.25
1997,19,581,David Eckstein,Second Base,Red Sox,University of Florida,22,01/20/75,Right,Right,College,No,Short-Season, , , ,Yes,68,282, , , ,Yes,135,590,Yes,131,572,Yes,134,543,Yes,4,468,1987,68,282,68,282,203,872,334,1444,468,1987,4.25
2006,26,784,Dustin Martin,Outfield,Mets,Sam Houston State University,22,04/04/84,Left,Left,College,No,Short-Season,Yes,2,4,Yes,72,293, , , ,Yes,125,548, , , , , , ,Active,2,199,845,74,297,74,297,199,845,199,845,199,845,4.25
1995,27,754,Gary Rodriguez,Outfield,Indians,Seminole Junior College,19,07/17/76,Left,Right,College,No,Short-Season, , , ,Yes,67,306,Yes,131,598,Yes,45,129, , , , , , ,No,3,243,1033,67,306,198,904,243,1033,243,1033,243,1033,4.25
1996,11,308,Isaac Byrd,Outfield,Cardinals,University of Kansas,22,11/16/74,Right,Right,College,Yes,Rookie,Yes,24,102, , , , , , , , , , , , , , , ,No,1,24,102,24,102,24,102,24,102,24,102,24,102,4.25
1996,17,515,Jackie Rexrode,Shortstop,Diamondba,"Riverdale Baptist HS (Laurel,MD)",18,09/16/78,Left,Right,High School,No,Rookie,Yes,74,302, , , ,Yes,142,605,Yes,53,254,Yes,197,819, , , ,No,5,466,1980,74,302,216,907,269,1161,466,1980,466,1980,4.25
1997,5,154,Jaisen Randolph,Outfield,Cubs,"Hillsborough HS (Tampa,FL)",18,01/19/79,Switch,Right,High School,No,Rookie,Yes,55,250, , , ,Yes,128,531,Yes,156,670,Yes,252,1062, , , ,No,6,591,2513,55,250,183,781,339,1451,591,2513,591,2513,4.25
2005,1,12,Jay Bruce,Outfield,Reds,"Westbrook HS, TX",18,04/03/87,Left,Left,High School,No,Rookie,Yes,54,217, , , ,Yes,117,498,Yes,67,298,Yes,16,74,Yes,50,204,Active,3,304,1291,54,217,171,715,238,1013,254,1087,304,1291,4.25
2006,5,158,Jermaine Mitchel,Outfield,Athletics,"UNC Greensboro, NC",22,11/02/84,Left,Left,College,No,Short-Season, , , ,Yes,37,163,Yes,122,513, , , , , , , , , ,Active,2,159,676,37,163,159,676,159,676,159,676,159,676,4.25
1999,1,1,Josh Hamilton,Outfield,Devil Ray,"Athens Drive HS (Raleigh,NC)",17,05/21/81,Left,Left,High School,No,Rookie,Yes,56,249,Yes,31,128,Yes,100,431,Yes,56,231,Yes,23,94,Yes,11,45,Yes,6,277,1178,87,377,187,808,243,1039,266,1133,277,1178,4.25
1996,36,1085,Junior Spivey,Second Base,Diamondba,Cowley County Community College,21,01/28/75,Right,Right,College,Yes,Rookie,Yes,51,211, , , , , , ,Yes,215,909,Yes,84,366,Yes,82,349,Yes,6,432,1835,51,211,51,211,266,1120,350,1486,432,1835,4.25
2000,26,768,Mark Moccia,Second Base,Tigers,Concordia College (NY),23,04/25/77,Right,Right,College,No,Short-Season, , , ,Yes,51,217, , , , , , , , , , , , ,No,1,51,217,51,217,51,217,51,217,51,217,51,217,4.25
2002,1,33,Matt Whitney,Third Base,Indians,Palm Beach Gardens HS (FL),18,02/13/84,Right,Right,High School,No,Rookie,Yes,45,193, , , ,Yes,206,884,Yes,153,642, , , , , , ,Active,5,404,1719,45,193,251,1077,404,1719,404,1719,404,1719,4.25
2004,22,648,Matthew Levering,Third Base,Reds,Regis U (CO),23,12/18/81,Right,Right,College,No,Rookie,Yes,4,17, , , , , , , , , , , , , , , ,No,1,4,17,4,17,4,17,4,17,4,17,4,17,4.25
1997,5,149,Michael Young,Shortstop,Blue Jays,University of California-Santa Bar,21,10/19/76,Right,Right,College,Yes,Short-Season, , , ,Yes,74,309,Yes,140,577,Yes,129,556,Yes,134,586, , , ,Yes,4,477,2028,74,309,214,886,343,1442,477,2028,477,2028,4.25
1996,2,40,Milton Bradley,Outfield,Expos,"Poly HS (Long Beach,CA)",18,04/15/78,Switch,Right,High School,No,Rookie,Yes,41,154,Yes,50,217,Yes,75,304,Yes,67,291,Yes,87,379,Yes,88,387,Yes,5,408,1732,91,371,166,675,233,966,320,1345,408,1732,4.25
2005,2,76,Nicholas Hundley,Catcher,Padres,"U Arizona, AZ",22,09/08/83,Right,Right,College,Yes,Short-Season, , , ,Yes,43,184,Yes,67,290,Yes,47,200,Yes,101,422, , , ,Active,3,258,1096,43,184,110,474,157,674,258,1096,258,1096,4.25
1998,1,1,Pat Burrell,First Base,Phillies,University of Miami (FL),21,10/10/76,Right,Right,College,Yes,High-A, , , , , , , , , ,Yes,37,159,Yes,117,496,Yes,50,212,Yes,3,204,867,0,0,0,0,37,159,154,655,204,867,4.25
1996,4,118,Peter Bergeron,Outfield,Dodgers,Greenfield HS (MA),19,11/09/77,Left,Right,High School,No,Short-Season, , , ,Yes,61,260,Yes,131,559,Yes,2,8,Yes,185,814,Yes,58,217,Yes,4,437,1858,61,260,192,819,194,827,379,1641,437,1858,4.25
2005,23,687,Phillip Cuadrado,Third Base,Rockies,"Cumberland U, TN",22,11/04/83,Switch,Right,College,No,Short-Season,Yes,5,19,Yes,103,463,Yes,105,432,Yes,37,148, , , , , , ,Active,3,250,1062,108,482,213,914,250,1062,250,1062,250,1062,4.25
1994,2,58,Rodriguez Smith,Outfield,Yankees,"Lafayette HS (Lexington,KY)",19,09/02/75,Switch,Right,High School,No,Rookie,Yes,56,237,Yes,49,217,Yes,338,1434,Yes,248,1105,Yes,79,282, , , ,No,7,770,3275,105,454,443,1888,691,2993,770,3275,770,3275,4.25
2005,47,1414,Seth Loman,First Base,Angels,"Lamar CC, CO",20,12/16/85,Switch,Right,College,No,Rookie,Yes,87,370, , , , , , , , , , , , , , , ,Active,2,87,370,87,370,87,370,87,370,87,370,87,370,4.25
2005,33,1007,Tyler Flowers,First Base,Braves,"Chipola JC, FL",19,01/24/86,Right,Right,College,Yes,Rookie,Yes,34,150, , , ,Yes,106,445, , , , , , , , , ,Active,2,140,595,34,150,140,595,140,595,140,595,140,595,4.25
2006,17,523,William Reddick,Outfield,Red Sox,"Middle Georgia Col, GA",19,02/19/87,Left,Right,College,No,Low-A, , , , , , ,Yes,94,403, , , ,Yes,1,1, , , ,Active,1,95,404,0,0,94,403,94,403,95,404,95,404,4.25
2006,4,115,Blake Davis,Shortstop,Orioles,"Cal St Fullerton, CA",23,12/22/83,Left,Right,College,Yes,Low-A, , , , , , ,Yes,50,220,Yes,93,406,Yes,35,129, , , ,Active,2,178,755,0,0,50,220,143,626,178,755,178,755,4.24
2006,1,15,Christopher Marr,Outfield,Nationals,"Monsignor Edward Pace HS, FL",18,07/02/88,Right,Right,High School,No,Rookie,Yes,22,91, , , ,Yes,57,243,Yes,68,290, , , , , , ,Active,2,147,624,22,91,79,334,147,624,147,624,147,624,4.24
2005,9,277,Clayton Harris,Second Base,Phillies,"Louisiana St U, LA",23,08/25/82,Right,Right,College,No,Short-Season, , , ,Yes,71,319,Yes,132,567,Yes,103,412, , , , , , ,Active,3,306,1298,71,319,203,886,306,1298,306,1298,306,1298,4.24
2005,19,587,Cole Miles,Shortstop,Braves,"Viewmont HS, UT",18,03/24/87,Switch,Right,High School,No,Rookie,Yes,97,419, , , ,Yes,16,60, , , , , , , , , ,Active,2,113,479,97,419,113,479,113,479,113,479,113,479,4.24
2000,4,104,David DeJesus,Outfield,Royals,Rutgers University,21,12/20/79,Left,Left,College,Yes,High-A, , , , , , , , , ,Yes,87,382,Yes,42,167,Yes,59,249,Yes,2,188,798,0,0,0,0,87,382,129,549,188,798,4.24
2004,26,781,Deacon Burns,Outfield,Twins,Northern St U (SD),22,10/28/82,Left,Left,College,No,Rookie,Yes,63,273, , , ,Yes,132,595,Yes,114,441, , , , , , ,No,3,309,1309,63,273,195,868,309,1309,309,1309,309,1309,4.24
1997,5,158,DeWayne Wise,Outfield,Reds,Chapin HS (SC),19,02/24/78,Left,Left,High School,No,Rookie,Yes,62,277, , , ,Yes,258,1081, , , ,Yes,15,63, , , ,Yes,4,335,1421,62,277,320,1358,320,1358,335,1421,335,1421,4.24
1996,1,10,Eric Chavez,Third Base,Athletics,"Mount Carmel HS (San Diego,CA)",19,12/07/77,Left,Right,High School,No,High-A, , , , , , , , , ,Yes,134,557,Yes,88,377,Yes,47,206,Yes,2,269,1140,0,0,0,0,134,557,222,934,269,1140,4.24
1993,7,187,George Arias,Third Base,Angels,University of Arizona,21,03/12/72,Right,Right,College,Yes,Low-A, , , , , , ,Yes,74,284,Yes,134,572,Yes,134,583,Yes,59,263,Yes,4,401,1702,0,0,74,284,208,856,342,1439,401,1702,4.24
1993,4,125,Jason McDonald,Shortstop,Athletics,University of Houston,21,03/20/72,Switch,Right,College,Yes,Short-Season, , , ,Yes,35,143,Yes,116,485,Yes,133,603, , , ,Yes,216,889,Yes,5,500,2120,35,143,151,628,284,1231,284,1231,500,2120,4.24
1998,14,411,Jay Gibbons,First Base,Blue Jays,Cal State Los Angeles University,21,03/02/77,Left,Left,College,No,Rookie,Yes,73,327, , , ,Yes,71,324,Yes,60,237,Yes,132,535, , , ,Yes,3,336,1423,73,327,144,651,204,888,336,1423,336,1423,4.24
2005,8,247,Jeremy Slayden,Outfield,Phillies,"Georgia Tech, GA",23,07/28/82,Left,Right,College,Yes,Short-Season, , , ,Yes,54,229,Yes,107,454,Yes,118,500, , , , , , ,Active,3,279,1183,54,229,161,683,279,1183,279,1183,279,1183,4.24
2005,2,67,John Whittleman,Third Base,Rangers,"Kingwood HS, TX",18,02/11/87,Left,Right,High School,No,Rookie,Yes,51,229, , , ,Yes,225,936,Yes,29,129, , , , , , ,Active,3,305,1294,51,229,276,1165,305,1294,305,1294,305,1294,4.24
2005,6,191,Justin Sellers,Shortstop,Athletics,"Marina HS, CA",19,02/01/86,Right,Right,High School,No,Short-Season, , , ,Yes,47,207,Yes,119,495,Yes,114,495,Yes,14,51, , , ,Active,3,294,1248,47,207,166,702,280,1197,294,1248,294,1248,4.24
1996,53,1511,Marcus Giles,Second Base,Braves,"Granite Hills HS (El Cajon,CA)",18,05/18/78,Right,Right,High School,No,Rookie,Yes,55,239, , , ,Yes,135,590,Yes,126,551,Yes,132,530,Yes,67,274,Yes,5,515,2184,55,239,190,829,316,1380,448,1910,515,2184,4.24
2002,1,39,Mark Teahen,Third Base,Athletics,St. Mary's Collegiate,21,09/06/81,Left,Right,College,No,Short-Season, , , ,Yes,13,62, , , ,Yes,180,774,Yes,53,226,Yes,94,381,Yes,4,340,1443,13,62,13,62,193,836,246,1062,340,1443,4.24
2003,20,586,Micah Furtado,Second Base,Rangers,Lewis & Clark St Col (ID),21,06/09/82,Left,Right,College,No,Rookie,Yes,49,226,Yes,2,8,Yes,84,346,Yes,183,778,Yes,10,34, , , ,Active,4,328,1392,51,234,135,580,318,1358,328,1392,328,1392,4.24
1997,20,613,Mike Marchiano,Outfield,Mariners,Fordham University,22,02/03/75,Right,Right,College,No,Short-Season,Yes,3,11,Yes,63,279,Yes,120,501,Yes,47,198, , , , , , ,No,3,233,989,66,290,186,791,233,989,233,989,233,989,4.24
1995,27,734,Ramon Vazquez,Shortstop,Mariners,Indian Hills Community College,19,08/02/76,Left,Right,College,No,Rookie,Yes,39,162,Yes,33,160,Yes,134,581,Yes,121,561,Yes,251,993,Yes,145,607,Yes,7,723,3064,72,322,206,903,327,1464,578,2457,723,3064,4.24
2006,22,656,Robert Felmy,Outfield,Giants,"U Georgia, GA",22,04/29/84,Left,Left,College,Yes,Short-Season, , , ,Yes,55,220,Yes,122,530, , , , , , , , , ,Active,1,177,750,55,220,177,750,177,750,177,750,177,750,4.24
1995,10,272,Ryan Freel,Second Base,Blue Jays,Tallahassee Community College,19,03/08/76,Right,Right,College,Yes,Short-Season, , , ,Yes,65,284, , , ,Yes,169,698,Yes,122,519,Yes,222,951,Yes,7,578,2452,65,284,65,284,234,982,356,1501,578,2452,4.24
1995,8,210,Scott Weaver,Outfield,Tigers,University of Michigan,22,09/21/73,Left,Left,College,No,Short-Season, , , ,Yes,65,274,Yes,115,490, , , , , , , , , ,No,2,180,764,65,274,180,764,180,764,180,764,180,764,4.24
2004,20,584,Sean Henry,Shortstop,Mets,Diablo Valley Col (CA),19,08/18/85,Right,Right,College,Yes,Rookie,Yes,139,574, , , ,Yes,21,76,Yes,114,504,Yes,14,67, , , ,Active,4,288,1221,139,574,160,650,274,1154,288,1221,288,1221,4.24
1999,8,262,Todd Donovan,Outfield,Padres,Siena College,21,08/12/78,Right,Right,College,No,Rookie,Yes,55,230, , , ,Yes,53,229,Yes,99,441,Yes,382,1618,Yes,58,225,Active,9,647,2743,55,230,108,459,207,900,589,2518,647,2743,4.24
1995,1,8,Todd Helton,First Base,Rockies,University of Tennessee,22,08/20/73,Left,Left,College,Yes,Low-A, , , , , , ,Yes,54,226, , , ,Yes,93,370,Yes,120,535,Yes,3,267,1131,0,0,54,226,54,226,147,596,267,1131,4.24
2005,2,75,Yunel Escobar,Shortstop,Braves,None,23,11/02/82,Right,Right,None,No,Rookie,Yes,8,36, , , ,Yes,48,214, , , ,Yes,121,501,Yes,46,195,Active,3,223,946,8,36,56,250,56,250,177,751,223,946,4.24
2004,3,83,Adam Lind,First Base,Blue Jays,U South Alabama (AL),21,07/17/83,Left,Left,College,Yes,Short-Season, , , ,Yes,70,290, , , ,Yes,126,554,Yes,91,378,Yes,34,137,Yes,3,321,1359,70,290,70,290,196,844,287,1222,321,1359,4.23
2001,15,463,Anthony Webster,Outfield,White Sox,"Decatur County HS (Parsons,TN)",18,04/10/83,Left,Right,High School,No,Rookie,Yes,116,516, , , ,Yes,112,468,Yes,221,955,Yes,164,683,Yes,69,265,Active,7,682,2887,116,516,228,984,449,1939,613,2622,682,2887,4.23
1999,3,109,Antron Seiber,Outfield,Red Sox,Independence HS (LA),19,05/19/80,Right,Right,High School,No,Rookie,Yes,62,262,Yes,6,21,Yes,196,839,Yes,29,116, , , , , , ,No,5,293,1238,68,283,264,1122,293,1238,293,1238,293,1238,4.23
2003,1,18,Bradley Snyder,Outfield,Indians,Ball St U (IN),21,05/25/82,Left,Left,College,No,Short-Season, , , ,Yes,62,266,Yes,79,352,Yes,87,364,Yes,210,931,Yes,86,303,Active,5,524,2216,62,266,141,618,228,982,438,1913,524,2216,4.23
2004,9,277,Chad Boyd,Outfield,Athletics,El Camino Real HS (CA),19,04/21/85,Left,Left,High School,No,Rookie,Yes,35,132,Yes,61,260,Yes,64,287,Yes,102,430, , , , , , ,Active,4,262,1109,96,392,160,679,262,1109,262,1109,262,1109,4.23
2006,5,152,Christopher Erre,Outfield,Brewers,"UC Berkeley, CA",21,02/11/85,Right,Left,College,No,Rookie,Yes,70,313, , , , , , ,Yes,116,474, , , , , , ,Active,2,186,787,70,313,70,313,186,787,186,787,186,787,4.23
1998,2,46,Dave Kelton,Third Base,Cubs,"Troup County HS (West Point,GA)",19,12/17/79,Right,Right,High School,No,Rookie,Yes,50,204, , , ,Yes,124,548,Yes,132,561,Yes,187,798,Yes,121,488,Yes,6,614,2599,50,204,174,752,306,1313,493,2111,614,2599,4.23
2000,1,23,David Espinosa,Shortstop,Reds,"Gulliver Prep HS (Miami,FL)",19,12/16/81,Switch,Right,High School,No,Low-A, , , , , , ,Yes,122,548,Yes,187,829,Yes,246,1097,Yes,224,818,Active,7,779,3292,0,0,122,548,309,1377,555,2474,779,3292,4.23
1996,2,64,Doug Johnson,Third Base,Devil Ray,"Buchholz HS (Gainesville,FL)",19,10/27/77,Right,Right,High School,No,Rookie,Yes,62,262, , , , , , , , , , , , , , , ,No,2,62,262,62,262,62,262,62,262,62,262,62,262,4.23
1998,1,8,Felipe Lopez,Third Base,Blue Jays,"Lake Brantley HS (Lake Brantley,FL",18,05/12/80,Switch,Right,High School,No,Short-Season, , , ,Yes,19,86,Yes,134,598,Yes,4,13,Yes,146,575,Yes,89,388,Yes,4,392,1660,19,86,153,684,157,697,303,1272,392,1660,4.23
2004,3,84,Ian Desmond,Shortstop,Expos,Sarasota HS (FL),19,09/20/85,Right,Right,High School,No,Rookie,Yes,55,226,Yes,4,12,Yes,73,320,Yes,276,1192,Yes,37,132, , , ,Active,4,445,1882,59,238,132,558,408,1750,445,1882,445,1882,4.23
2004,9,261,James Fasano,First Base,Rangers,U Richmond (VA),21,06/20/83,Left,Right,College,No,Short-Season, , , ,Yes,69,298,Yes,98,439,Yes,32,139,Yes,165,663, , , ,Active,4,364,1539,69,298,167,737,199,876,364,1539,364,1539,4.23
2005,1,30,James Greene,Shortstop,Cardinals,"Georgia Tech, GA",22,08/17/83,Right,Right,College,No,Short-Season, , , ,Yes,35,159,Yes,59,256,Yes,91,395,Yes,65,247, , , ,Active,3,250,1057,35,159,94,415,185,810,250,1057,250,1057,4.23
2006,6,170,James Negrych,Second Base,Pirates,"U Pittsburgh, PA",21,03/02/85,Left,Right,College,No,Short-Season, , , ,Yes,42,166,Yes,86,376, , , , , , , , , ,Active,2,128,542,42,166,128,542,128,542,128,542,128,542,4.23
2006,35,1066,James Rapoport,Outfield,Cardinals,"Stanford U, CA",21,06/25/85,Left,Left,College,Yes,Short-Season, , , ,Yes,66,275,Yes,43,173,Yes,89,389, , , , , , ,Active,2,198,837,66,275,109,448,198,837,198,837,198,837,4.23
2001,21,640,Jereme Milons,Outfield,Dodgers,Starkville HS (MS),18,02/05/83,Right,Right,High School,No,Rookie,Yes,96,376, , , ,Yes,237,1031,Yes,188,795, , , , , , ,Active,6,521,2202,96,376,333,1407,521,2202,521,2202,521,2202,4.23
2002,8,224,Joey Gomes,Outfield,Devil Ray,Santa Clara University,23,11/02/79,Right,Right,College,No,Short-Season, , , ,Yes,68,297,Yes,26,103,Yes,315,1356,Yes,50,187, , , ,No,5,459,1943,68,297,94,400,409,1756,459,1943,459,1943,4.23
2006,25,765,Joseph Hunter,Outfield,White Sox,"Mississippi St U, MS",23,12/02/83,Right,Right,College,Yes,Rookie,Yes,30,127, , , , , , , , , , , , , , , ,Active,2,30,127,30,127,30,127,30,127,30,127,30,127,4.23
1993,7,190,Keith Williams,Outfield,Giants,Clemson University,21,04/21/72,Right,Right,College,No,Short-Season, , , ,Yes,75,336, , , ,Yes,128,564,Yes,75,298,Yes,132,538,Yes,4,410,1736,75,336,75,336,203,900,278,1198,410,1736,4.23
2001,8,243,Kevin Youkilis,First Base,Red Sox,University of Cincinnati,22,03/15/79,Right,Right,College,No,Short-Season, , , ,Yes,61,259,Yes,20,81,Yes,76,317,Yes,138,589,Yes,68,289,Yes,4,363,1535,61,259,81,340,157,657,295,1246,363,1535,4.23
1992,2,67,Marquis Riley,Outfield,Angels,University of Central Arkansas,22,12/27/70,Right,Right,College,No,Short-Season, , , ,Yes,52,238, , , ,Yes,130,598,Yes,147,600,Yes,293,1197,No,7,622,2633,52,238,52,238,182,836,329,1436,622,2633,4.23
2005,4,115,Matthew Gamel,Third Base,Brewers,"Chipola JC, FL",20,07/26/85,Left,Right,College,No,Rookie,Yes,50,216, , , ,Yes,137,583,Yes,128,534, , , , , , ,Active,3,315,1333,50,216,187,799,315,1333,315,1333,315,1333,4.23
2006,15,447,Matthew Oxendine,Shortstop,Diamondba,"U North Florida, FL",23,10/13/83,Right,Right,College,No,Rookie,Yes,61,272, , , ,Yes,88,358, , , , , , , , , ,Active,2,149,630,61,272,149,630,149,630,149,630,149,630,4.23
1995,9,250,Mike Edwards,Shortstop,Indians,Mechanicsburg Area HS (PA),19,11/24/76,Right,Right,High School,No,Rookie,Yes,161,679,Yes,20,84,Yes,124,573,Yes,133,573,Yes,284,1174,Yes,123,491,Yes,9,845,3574,181,763,305,1336,438,1909,722,3083,845,3574,4.23
2005,5,168,Reid Engel,Outfield,Red Sox,"Lewis-Palmer HS, CO",18,05/07/87,Left,Right,High School,No,Rookie,Yes,33,140,Yes,56,246,Yes,112,464, , , , , , , , , ,Active,3,201,850,89,386,201,850,201,850,201,850,201,850,4.23
2005,38,1150,Ryan Episcopo,Outfield,Cubs,"Andrew College, GA",20,07/20/85,Left,Right,College,No,Rookie,Yes,46,197,Yes,7,27, , , , , , , , , , , , ,No,2,53,224,53,224,53,224,53,224,53,224,53,224,4.23
2005,3,106,Sergio Pedroza,Outfield,Dodgers,"Cal St Fullerton, CA",21,02/23/84,Left,Right,College,No,Rookie,Yes,12,54, , , ,Yes,138,611,Yes,158,637, , , , , , ,Active,3,308,1302,12,54,150,665,308,1302,308,1302,308,1302,4.23
